port_name,GID_0,freight_import,freight_export,freight_total,country,continent,lon,lat
Abbot Point,AUS,70001.71910753915,28289536.861303147,28359538.580410685,Australia,Australia,148.08574855224262,-19.86347273048479
Abenra,DNK,595.3841860865363,1820.6189925301903,2416.0031786167265,Denmark,Northern-Europe,9.4328687515463,55.03613674896311
Aberdeen,GBR,1173274.693655626,925165.2662022151,2098439.959857841,United Kingdom,Western-Europe,-2.071933161301114,57.13970754858299
Aberdeen,USA,274586.2926264323,964238.0776732926,1238824.3702997249,U.S.A.,North-America,-123.84900253523409,46.95740684544593
Abidjan,CIV,10216297.085471172,3727555.939506062,13943853.024977233,Cote d'Ivoire,Africa,-4.02121100946266,5.281131862318626
Abu Zaby,ARE,12324423.668966457,9593448.045575278,21917871.714541733,United Arab Emirates,Middle-East,54.49529187527073,24.508284060313873
Acajutla,SLV,2486633.458019795,932510.3259478743,3419143.783967669,El Salvador,Latin-America,-89.836482133761,13.576548729013748
Acapulco,MEX,55815.19243555599,100497.21866924631,156312.4111048023,Mexico,Latin-America,-99.87665273945912,16.835825834203092
Aden,YEM,5448367.435174911,1910342.011439048,7358709.446613959,Yemen,Middle-East,44.95385819790221,12.804423036346144
Agadir,MAR,1872245.5973431203,1659967.6604267014,3532213.2577698217,Morocco,Africa,-9.640954132616516,30.423327619276023
Ahus,SWE,131.9291624449538,267.64406548521265,399.57322793016647,Sweden,Northern-Europe,14.323414129865048,55.9281476828496
Aiyion,GRC,4.128356439772546,55.017873974078995,59.14623041385154,Greece,Mediterranean,21.846493838096944,38.33475387391774
Ajman,ARE,2414.4639273249154,6532.720398130777,8947.184325455692,United Arab Emirates,Middle-East,55.45156842093279,25.423110788806916
Akita-Funakawa Ko,JPN,1096463.5406859284,192513.90409243418,1288977.4447783625,Japan,Asia,140.0525074687916,39.7625318482917
Ako,JPN,243480.5296356023,9309.953000238904,252790.48263584118,Japan,Asia,134.375873722863,34.738439552888686
Akureyri,ISL,457257.2079357296,182141.00931078583,639398.2172465154,Iceland,Northern-Europe,-18.07839303021677,65.69586227498087
