fid,port_name,country,continent,lat,lon,INDEX_NO,REGION_NO,PORT_NAME_2,COUNTRY_2,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1",Abbot Point,Australia,Australia,-19.8937552472355,148.07762043732,53380.000000,53290.000000,TOWNSVILLE,AU,-19.266667,146.816667,19.000000,16.000000,S,146.000000,49.000000,E,"127",74216/37,S,CB,F,N,N,N,Y,N,J,L,J,J,2.000000,L,Y,Y,Y,N,Y,Y,Y,,Y,N,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,,,Y,,,Y,,,Y,Y,,Y,Y,,Y,Y,B,,M,"1",1.40827713877824,148.07762043732,-19.8937552472355,146.816666666667,-19.2666666666667
"2",Abenra,Denmark,Northern-Europe,55.0425424841465,9.42813655215102,30100.000000,30020.000000,ABENRA,DK,55.050000,9.433333,55.000000,3.000000,N,9.000000,26.000000,E,"194","44062",S,CB,G,Y,N,,Y,,J,A,M,K,2.000000,L,Y,Y,Y,N,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,Y,,Y,Y,,,,,,Y,Y,,Y,,Y,,,,,Y,Y,,,,,Y,Y,Y,Y,,,A,,S,"1",0.00908961370805618,9.42813655215102,55.0425424841465,9.43333333333333,55.05
"3",Aberdeen,U.S.A.,North-America,46.9659822269492,-123.847752483965,17060.000000,16000.000000,ABERDEEN,US,46.983333,-123.816667,46.000000,59.000000,N,123.000000,49.000000,W,CP07,"18502",S,RN,E,N,N,N,Y,Y,L,,K,L,8.000000,,,,Y,,,Y,,,Y,,,Y,,,Y,Y,Y,Y,Y,Y,,,,,,Y,Y,,,Y,Y,,,,Y,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,C,,M,"1",0.0356004063158015,-123.847752483965,46.9659822269492,-123.816666666667,46.9833333333333
"4",Aberdeen,United Kingdom,Western-Europe,57.1399291195259,-2.07661676756875,32220.000000,31870.000000,ABERDEEN,GB,57.150000,-2.083333,57.000000,9.000000,N,2.000000,5.000000,W,"141","35013",M,RB,G,Y,N,N,,Y,N,K,K,M,4.000000,L,Y,,Y,N,Y,Y,Y,,Y,,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,C,S,,"1",0.012105159610376,-2.07661676756875,57.1399291195259,-2.08333333333333,57.15
"5",Abidjan,Cote d'Ivoire,Africa,5.28395622253262,-4.01090831712434,46000.000000,45960.000000,ABIDJAN,CI,5.250000,-4.016667,5.000000,15.000000,N,4.000000,1.000000,W,"123","57064",L,LC,E,Y,Y,N,Y,Y,H,A,H,K,1.000000,L,Y,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,,Y,Y,,Y,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,B,S,,"1",0.0344410167988197,-4.01090831712434,5.28395622253262,-4.01666666666667,5.25
"6",Abu Zaby,United Arab Emirates,Middle-East,24.6124328776151,54.5636829951391,48279.000000,48260.000000,UMM AN NAR,AE,24.450000,54.483333,24.000000,27.000000,N,54.000000,29.000000,E,"172","62444",V,RN,G,Y,,,Y,Y,J,,L,,1.000000,M,N,N,Y,,Y,Y,Y,,,,Y,Y,Y,,,,Y,Y,,,Y,Y,,,,,,,N,Y,,,,Y,,,,,,,,N,N,N,N,N,N,N,,,"1",0.181219501937902,54.5636829951391,24.6124328776151,54.4833333333333,24.45
"7",Acajutla,El Salvador,Latin-America,13.5754400732541,-89.8296722590051,15640.000000,15590.000000,ACAJUTLA,SV,13.583333,-89.833333,13.000000,35.000000,N,89.000000,50.000000,W,"153","21524",V,CB,P,N,N,N,N,N,,C,J,H,2.000000,L,Y,,Y,N,Y,Y,Y,,Y,N,Y,,N,Y,Y,Y,Y,Y,N,Y,Y,,,,,Y,Y,,N,Y,Y,,,Y,Y,,Y,N,N,N,N,Y,Y,Y,,,,C,,S,"1",0.00870097810110766,-89.8296722590051,13.5754400732541,-89.8333333333333,13.5833333333333
"8",Acapulco,Mexico,Latin-America,16.8428181115192,-99.8724080961647,15760.000000,15700.000000,ACAPULCO,MX,16.850000,-99.933333,16.000000,51.000000,N,99.000000,56.000000,W,"153","21401",M,CN,E,,,,Y,,,A,J,N,0.000000,L,Y,,Y,N,Y,Y,Y,,,N,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,,,,,,Y,Y,Y,N,N,N,Y,Y,,Y,,,C,,S,"1",0.0613470785466068,-99.8724080961647,16.8428181115192,-99.9333333333333,16.85
"9",Ad Dakhla,Western Sahara,Africa,23.6679395070517,-15.9526739040635,45808.000000,45805.000000,AD DAKHLA,EH,23.700000,-15.916667,23.000000,42.000000,N,15.000000,55.000000,W,"143","51420",V,RN,G,Y,N,N,Y,,H,H,L,,2.000000,M,Y,,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,Y,,Y,Y,Y,Y,,Y,,,,,Y,,,N,,Y,,,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,,C,,,"1",0.0482119938712833,-15.9526739040635,23.6679395070517,-15.9166666666667,23.7
"10",Aden,Yemen,Middle-East,12.7818655302251,44.9549432509693,48190.000000,48143.000000,ADEN,YE,12.783333,44.950000,12.000000,47.000000,N,44.000000,57.000000,E,"172","62098",M,CN,G,Y,N,N,Y,,G,D,F,F,1.000000,M,Y,Y,Y,N,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,Y,,,Y,Y,,,Y,Y,,Y,Y,Y,Y,,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,,,A,L,S,"1",0.00515656631002518,44.9549432509693,12.7818655302251,44.95,12.7833333333333
