lat,lon,ID,port_name,country,continent
-21.135,-175.179,1,Nuku Alofa,Tonga,Oceania
-19.799,-174.351,2,Pangai,Tonga,Oceania
-18.652,-173.986,3,Neiafu,Tonga,Oceania
-13.745,-172.216,4,Salelologa,Samoa,Oceania
-13.824,-171.76,5,Apia,Samoa,Oceania
-14.286,-170.674,6,Pago Pago Harbor,American Samoa,Oceania
-19.046,-169.931,7,Alofi,Niue,Oceania
-21.199,-159.779,8,Avatiu,Cook Islands,Oceania
21.299,-158.104,9,Barbor's Point,U.S.A.,North-America
21.326,-157.925,10,Honolulu,U.S.A.,North-America
1.978,-157.511,11,Kiribati,Kiribati,Oceania
19.743,-155.067,12,Hilo,U.S.A.,North-America
-16.492,-151.756,13,Vaitape,French Polynesia,Oceania
-16.619,-151.545,14,Tahaa,French Polynesia,Oceania
-16.731,-151.441,15,Uturoa,French Polynesia,Oceania
-16.715,-151.034,16,Fare,French Polynesia,Oceania
61.229,-149.889,17,Anchorage,U.S.A.,North-America
-17.542,-149.579,18,Papeete,French Polynesia,Oceania
60.777,-148.667,19,Whittier,U.S.A.,North-America
61.086,-146.393,20,Swanport,U.S.A.,North-America
-8.921,-140.094,21,Baie Taoihae,French Polynesia,Oceania
-9.812,-139.021,22,Atuona,French Polynesia,Oceania
-23.119,-134.965,23,Port Rikitea,French Polynesia,Oceania
54.263,-130.313,24,Prince Rupert,U.S.A.,North-America
43.407,-124.252,25,Empire,U.S.A.,North-America
49.143,-123.864,26,Harmac,Canada,North-America
46.957,-123.849,27,Aberdeen,U.S.A.,North-America
48.125,-123.426,28,Port Angeles,Canada,North-America
48.685,-123.406,29,Sydney,Canada,North-America
49.295,-122.995,30,Vancouver,Canada,North-America
49.158,-122.973,31,New Westminster,Canada,North-America
45.611,-122.754,32,Portland,U.S.A.,North-America
48.847,-122.729,33,Cherry Point,Canada,North-America
45.637,-122.715,34,Vancouver,U.S.A.,North-America
48.498,-122.622,35,Anacortes,Canada,North-America
48.751,-122.503,36,Bellingham,U.S.A.,North-America
47.265,-122.402,37,Tacoma,U.S.A.,North-America
37.786,-122.396,38,San Fransisco,U.S.A.,North-America
37.923,-122.386,39,Point Richmond,U.S.A.,North-America
47.601,-122.348,40,Seattle,U.S.A.,North-America
37.803,-122.319,41,Oakland,U.S.A.,North-America
47.981,-122.225,42,Everett,U.S.A.,North-America
38.043,-122.138,43,Benicia,U.S.A.,North-America
37.954,-121.33,44,Stockton,U.S.A.,North-America
34.148,-119.208,45,Port Hueneme,U.S.A.,North-America
33.908,-118.431,46,EL Segundo,U.S.A.,North-America
33.744,-118.233,47,Los Angeles,U.S.A.,North-America
32.677,-117.148,48,San Diego,U.S.A.,North-America
32.347,-117.065,49,Rosarito,Mexico,Latin-America
31.815,-116.605,50,Ensenada,Mexico,Latin-America
27.904,-110.868,51,Guaymas,Mexico,Latin-America
24.247,-110.314,52,Pichilingue,Mexico,Latin-America
25.57,-109.07,53,Topolorampo,Mexico,Latin-America
23.19,-106.41,54,Mazatlan,Mexico,Latin-America
19.045,-104.303,55,Manzanillo,Mexico,Latin-America
17.952,-102.16,56,Lazaro Cardenas,Mexico,Latin-America
16.836,-99.877,57,Acapulco,Mexico,Latin-America
22.478,-97.864,58,Altamira,Mexico,Latin-America
22.228,-97.853,59,Tampico,Mexico,Latin-America
27.83,-97.37,60,Corpus Christi,U.S.A.,North-America
20.943,-97.329,61,Tuxpan,Mexico,Latin-America
25.983,-97.309,62,Brownsville,U.S.A.,North-America
27.846,-97.067,63,Port Aransas,U.S.A.,North-America
28.598,-96.566,64,Port Lavaca,U.S.A.,North-America
19.221,-96.148,65,Veracruz,Mexico,Latin-America
28.942,-95.311,66,Freeport,U.S.A.,North-America
16.156,-95.187,67,Salina Cruz,Mexico,Latin-America
29.71,-95.074,68,Houston,U.S.A.,North-America
29.369,-94.89,69,Texas City,U.S.A.,North-America
29.313,-94.815,70,Galveston,U.S.A.,North-America
18.141,-94.415,71,Coatzacoalcos,Mexico,Latin-America
30.047,-94.026,72,Beaumont,U.S.A.,North-America
29.9,-93.923,73,Port Arthur,U.S.A.,North-America
30.175,-93.296,74,Lake Charles,U.S.A.,North-America
18.442,-93.201,75,Dos Bocas Terminal,Mexico,Latin-America
46.731,-92.068,76,Superior,U.S.A.,North-America
47.149,-91.47,77,Two Harbors,U.S.A.,North-America
30.438,-91.205,78,Baton Rouge,U.S.A.,North-America
29.682,-91.182,79,Morgan City,U.S.A.,North-America
13.918,-90.813,80,Puerto Quetzal,Guatemala,Latin-America
30.021,-90.621,81,South Louisiana,U.S.A.,North-America
29.127,-90.203,82,Founchon,U.S.A.,North-America
29.854,-90.099,83,New Orleans,U.S.A.,North-America
28.861,-90.022,84,LOOP terminal,U.S.A.,North-America
29.262,-89.963,85,Grand Isle,U.S.A.,North-America
13.577,-89.836,86,Acajutla,El Salvador,Latin-America
21.349,-89.678,87,Progreso,Mexico,Latin-America
48.377,-89.176,88,Thunder Bay,Canada,North-America
30.351,-89.083,89,Gulfport,U.S.A.,North-America
15.717,-88.613,90,Santo Thomas De Castilla,Guatemala,Latin-America
30.339,-88.535,91,Pascagoula,U.S.A.,North-America
16.512,-88.403,92,Big Creek,Belize,Latin-America
17.474,-88.198,93,Belize City,Belize,Latin-America
30.625,-88.059,94,Mobile,U.S.A.,North-America
44.515,-88.016,95,Green Bay,U.S.A.,North-America
15.813,-87.999,96,Puerto Cortes,Honduras,Latin-America
43.019,-87.893,97,Milwaukee,U.S.A.,North-America
44.095,-87.656,98,Manitowoc,U.S.A.,North-America
45.095,-87.593,99,Menominee,U.S.A.,North-America
41.683,-87.547,100,Calumet Harbor,U.S.A.,North-America
41.666,-87.443,101,Indiana Harbor,U.S.A.,North-America
13.378,-87.428,102,Puerto De Hencan,Honduras,Latin-America
41.64,-87.408,103,Buffington,U.S.A.,North-America
46.569,-87.38,104,Presque Isle,U.S.A.,North-America
41.617,-87.322,105,Gary,U.S.A.,North-America
12.473,-87.162,106,Corinto,Nicaragua,Latin-America
41.634,-87.145,107,Burns Harbor,U.S.A.,North-America
20.526,-87.038,108,San Miguel De Cozumel,Mexico,Latin-America
15.793,-86.761,109,La Ceiba,Honduras,Latin-America
43.062,-86.231,110,Grand Haven,U.S.A.,North-America
16.005,-85.969,111,Puerto Castilla,Honduras,Latin-America
30.137,-85.715,112,Panama City,U.S.A.,North-America
9.908,-84.745,113,Puerto Caldera,Costa Rica,Latin-America
22.679,-83.968,114,Cabanas,Cuba,Caribbean
43.617,-83.845,115,Bay City,U.S.A.,North-America
41.693,-83.464,116,Toledo,U.S.A.,North-America
14.017,-83.384,117,Puerto Cabezas,Nicaragua,Latin-America
8.622,-83.17,118,Golfito,Costa Rica,Latin-America
42.286,-83.133,119,Rouge River,U.S.A.,North-America
10.008,-83.087,120,Puerto Moin,Costa Rica,Latin-America
8.209,-82.871,121,Charco Azul,Panama,Latin-America
23,-82.761,122,Mariel,Cuba,Caribbean
41.499,-82.721,123,Sandusky,U.S.A.,North-America
27.632,-82.562,124,Port Manatee,U.S.A.,North-America
27.867,-82.47,125,Tampa,U.S.A.,North-America
42.972,-82.42,126,Sarnia,Canada,North-America
23.13,-82.343,127,Bahai De La Habana,Cuba,Caribbean
8.951,-82.113,128,Chiriqui Grande,Panama,Latin-America
41.478,-81.695,129,Cleveland,U.S.A.,North-America
30.381,-81.549,130,Jacksonville,U.S.A.,North-America
23.061,-81.538,131,Matanzas,Cuba,Caribbean
31.125,-81.515,132,Brunswick,U.S.A.,North-America
19.294,-81.383,133,Georgetown,Cayman Islands,Caribbean
-4.575,-81.279,134,Talara,Peru,Latin-America
-5.081,-81.112,135,Paita,Peru,Latin-America
32.102,-81.071,136,Savannah,U.S.A.,North-America
-5.797,-81.053,137,Puerto Bayovar,Peru,Latin-America
-2.147,-80.827,138,La Libertad,Ecuador,Latin-America
-0.942,-80.713,139,Manta,Ecuador,Latin-America
28.395,-80.599,140,Canaveral Harbor,U.S.A.,North-America
22.151,-80.478,141,Cienfuegos,Cuba,Caribbean
25.769,-80.195,142,Miami,U.S.A.,North-America
26.077,-80.12,143,Port Everglades,U.S.A.,North-America
42.79,-80.059,144,Port Dover,Canada,North-America
26.761,-80.042,145,Palm Beach,U.S.A.,North-America
-3.255,-80.004,146,Puerto Bolivar,Ecuador,Latin-America
32.893,-79.92,147,Charleston,U.S.A.,North-America
9.345,-79.906,148,Puerto Cristobal,Panama,Latin-America
-2.251,-79.901,149,Guayaquil,Ecuador,Latin-America
9.376,-79.887,150,Puerto Colon,Panama,Latin-America
9.361,-79.887,151,Manzanillo,Panama,Latin-America
